confidence_threshold,iou_threshold,min_consecutive,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
0.2,0.3,1,2865,1433,1432,1414,562,19,870,0.7156,0.9867,0.8296,0.3925,14.3,0.0
0.2,0.4,1,2865,1433,1432,1414,562,19,870,0.7156,0.9867,0.8296,0.3925,14.3,0.0
0.2,0.5,1,2865,1433,1432,1414,562,19,870,0.7156,0.9867,0.8296,0.3925,14.3,0.0
0.5,0.4,3,2865,1433,1432,1129,169,304,1263,0.8698,0.7879,0.8268,0.118,171.7,41.0
0.4,0.1,5,2865,1433,1432,1094,120,339,1312,0.9012,0.7634,0.8266,0.0838,238.6,90.0
0.2,0.4,5,2865,1433,1432,1122,168,311,1264,0.8698,0.783,0.8241,0.1173,235.2,115.0
0.4,0.4,4,2865,1433,1432,1107,154,326,1278,0.8779,0.7725,0.8218,0.1075,198.1,66.0
0.25,0.4,5,2865,1433,1432,1108,157,325,1275,0.8759,0.7732,0.8213,0.1096,238.3,115.0
0.4,0.2,5,2865,1433,1432,1077,119,356,1313,0.9005,0.7516,0.8193,0.0831,237.7,90.0
0.25,0.5,4,2865,1433,1432,1122,185,311,1247,0.8585,0.783,0.819,0.1292,210.5,87.0
0.2,0.5,4,2865,1433,1432,1133,202,300,1230,0.8487,0.7906,0.8186,0.1411,206.2,87.0
0.3,0.4,5,2865,1433,1432,1089,140,344,1292,0.8861,0.7599,0.8182,0.0978,246.2,116.0
0.1,0.4,5,2865,1433,1432,1137,212,296,1220,0.8428,0.7934,0.8174,0.148,232.1,115.0
0.3,0.5,4,2865,1433,1432,1107,170,326,1262,0.8669,0.7725,0.817,0.1187,211.6,86.0
0.5,0.1,4,2865,1433,1432,1056,113,377,1319,0.9033,0.7369,0.8117,0.0789,195.1,59.0
0.5,0.5,3,2865,1433,1432,1086,161,347,1271,0.8709,0.7579,0.8104,0.1124,188.1,55.0
0.4,0.3,5,2865,1433,1432,1054,116,379,1316,0.9009,0.7355,0.8098,0.081,242.3,93.0
0.5,0.2,4,2865,1433,1432,1050,113,383,1319,0.9028,0.7327,0.8089,0.0789,199.8,60.0
0.1,0.5,4,2865,1433,1432,1143,252,290,1180,0.8194,0.7976,0.8083,0.176,197.6,86.0
0.1,0.1,1,2865,1433,1432,1422,668,11,764,0.6804,0.9923,0.8073,0.4665,10.3,0.0
0.1,0.2,1,2865,1433,1432,1422,668,11,764,0.6804,0.9923,0.8073,0.4665,10.3,0.0
