pixel_threshold,min_change_ratio,confidence_threshold,iou_threshold,min_consecutive,max_detection_area,max_misses,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,tp_pct,fp_pct,fn_pct,tn_pct,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
30,0.005,0.01,0.1,1,,0,2933,1467,1466,1170,689,297,777,79.75,47.0,20.25,53.0,0.6294,0.7975,0.7035,0.47,157.2,30.0
7,0.1,0.01,0.1,5,,0,2933,1467,1466,922,253,545,1213,62.85,17.26,37.15,82.74,0.7847,0.6285,0.698,0.1726,339.0,179.0
15,0.01,0.01,0.1,5,,0,2933,1467,1466,911,238,556,1228,62.1,16.23,37.9,83.77,0.7929,0.621,0.6965,0.1623,336.8,155.0
15,0.05,0.01,0.1,2,,0,2933,1467,1466,1037,479,430,987,70.69,32.67,29.31,67.33,0.684,0.7069,0.6953,0.3267,204.9,60.0
15,0.02,0.01,0.1,4,,0,2933,1467,1466,939,295,528,1171,64.01,20.12,35.99,79.88,0.7609,0.6401,0.6953,0.2012,303.4,121.0
25,0.001,0.01,0.1,4,,0,2933,1467,1466,917,269,550,1197,62.51,18.35,37.49,81.65,0.7732,0.6251,0.6913,0.1835,315.3,123.0
40,0.001,0.01,0.1,1,,0,2933,1467,1466,1092,603,375,863,74.44,41.13,25.56,58.87,0.6442,0.7444,0.6907,0.4113,165.2,30.0
25,0.01,0.01,0.1,2,,0,2933,1467,1466,1006,447,461,1019,68.58,30.49,31.42,69.51,0.6924,0.6858,0.689,0.3049,220.0,60.0
25,0.02,0.01,0.1,1,,0,2933,1467,1466,1117,672,350,794,76.14,45.84,23.86,54.16,0.6244,0.7614,0.6861,0.4584,176.6,30.0
30,0.001,0.01,0.1,3,,0,2933,1467,1466,932,320,535,1146,63.53,21.83,36.47,78.17,0.7444,0.6353,0.6855,0.2183,280.0,90.0
